Internal ID,Credit System,Accrediting Body,Institution Name,Institution CRM ID,Unique Institution Name,New institution-flag,Internal ID
9035,,ABA Centre ROSTOK,ABA Centre ROSTOK,D47AA861-4755-E911-8106-000C29A8E632,ABA Centre ROSTOK,No,1
9036,Courses taught sequentially over the expand of one year,Sulukeyat Center,ABA España,0857E065-6200-E411-BEB5-00505683000D,ABA Spain Madrid,No,2
9037,,Alternative Pathway,ABA Training Solutions,F6102C78-BD54-E911-8106-000C29A8E632,ABA Training Solutions,No,3
9038,Semester,ABA-CARDP,ABA-CARDP,CA01C35E-A15B-E911-8106-000C29A8E632,ABA-CARDP,No,4
9039,Module,other,Alcanzando,DEB48AAF-BE54-E911-8106-000C29A8E632,Alcanzando,No,5
9040,Semester,Middle States Association of Colleges & Schools,American University of Beirut,2545EF0A-BC54-E911-8106-000C29A8E632,American University of Beirut,No,6
9041,Semester,Higher Learning Commission (HCL),Antioch University,297383A1-F5B1-E811-8102-000C29A8E632,Antioch University,No,7
9042,Semester,Middle States Commission on Higher Education,Arcadia University,16E6FC4D-6200-E411-BEB5-00505683000D,Arcadia University,No,8
9043,Semester,Higher Learning Commission (HLC),Arizona State University - Online,6D99D86B-6200-E411-BEB5-00505683000D,Arizona State University,No,9
9044,Semester,Higher Learning Commission (HLC),Arizona State University-Dept of Psychology,809421AC-5BF0-E511-A054-0050569C00A7,Arizona State University,No,9
9045,per class,Association Agir et Vivre l'Autisme,Association Agir et Vivre l'Autisme,C4EA6C4C-4855-E911-8106-000C29A8E632,Association Agir et Vivre l'Autisme,No,10
9046,Alternate Pathway,alternative pathway,Association for training in Neurodevelopment Monorodi,F80242BD-4955-E911-8106-000C29A8E632,Association for training in Neurodevelopment Monorodi,No,11
9047,Semester,Association Francaise de L'ABA,Association Francaise de L'ABA,6B836A1E-4B55-E911-8106-000C29A8E632,Association Francaise de L'ABA,No,12
9048,Semester,Alternative Pathway,"Associations for the Advancement of Radical Behavior Analysis and the Italian-American Association of Behavior Analysis and Modification, and Behavioral-Cognitive Therapy (AARBA-AIAMC)",97CE5E1E-A15B-E911-8106-000C29A8E632,"Associations for the Advancement of Radical Behavior Analysis and the Italian-American Association of Behavior Analysis and Modification, and Behavioral-Cognitive Therapy (AARBA-AIAMC)",No,13
9049,Semester,New England Association of Schools and Colleges,Assumption College,75B2BBC9-4B55-E911-8106-000C29A8E632,Assumption College,No,14
9050,Monthly,Atbalsts Latvia,Atbalsts Latvia,8BFEA0ED-4C55-E911-8106-000C29A8E632,Atbalsts Latvia,No,15
9051,Semester,Southern Association of Colleges and Schools Commission on Colleges,Auburn University,D99548F8-CC92-E511-A86B-0050569C00A7,Auburn University,No,16
9052,Semester,Higher Learning Commission (HLC),Aurora University,0399D86B-6200-E411-BEB5-00505683000D,Aurora University,No,17
9053,,Alternative Pathway (Pending),Azerbaijan Agdam Social College,7D7A5632-A15B-E911-8106-000C29A8E632,Azerbaijan Agdam Social College,No,18
9054,Quarter,Western Association of Schools and Colleges,Azusa Pacific University,609D71D6-4E55-E911-8106-000C29A8E632,Azusa Pacific University,No,19
9055,Semester,Korean Department of Education,Baekseok University,0F8D354C-4F55-E911-8106-000C29A8E632,Baekseok University,No,20
9056,Semester,Higher Learning Commission,Ball State University,E7D84F21-F2B1-E411-B490-0050569C00A7,Ball State University,No,21
9057,Semester,Uk Government,Bangor University,C5834E19-5555-E911-8106-000C29A8E632,Bangor University,No,22
9058,Semester,New England Commission of Higher Education,Bay Path University,4E99D86B-6200-E411-BEB5-00505683000D,Bay Path University,No,23
9059,Semester,Southern Association of Colleges and Schools Commission on Colleges,Baylor University,D22BD0DF-5755-E911-8106-000C29A8E632,Baylor University,No,24
9060,,Behavior Momentum India,Behavior Momentum India,8298D86B-6200-E411-BEB5-00505683000D,Behavior Momentum India,No,25
9061,Semester,Behaviour Analysis Academy - Singapore,Behaviour Analysis Academy,FF3D417C-5B55-E911-8106-000C29A8E632,Behaviour Analysis Academy,No,26
9062,Semester,Higher Education Evaluation Center of the Ministry of Higher Education,Beijing Normal University,D775280C-6B55-E911-8106-000C29A8E632,Beijing Normal University,No,27
9063,Semester,Israeli Council for Higher Education,Beit Berl College,D3152715-6E55-E911-8106-000C29A8E632,Beit Berl College,No,28
9064,Semester,Southern Association of Colleges and Schools Commission on Colleges,Berry College,2EA32770-6F55-E911-8106-000C29A8E632,Berry College,No,29
9065,Semester,Biruni Univeristy,Biruni University,AEB38661-7055-E911-8106-000C29A8E632,Biruni University,No,30
9066,Semester,Higher Learning Commission,Bowling Green State University,9CB928ED-DC57-E911-8106-000C29A8E632,Bowling Green State University,No,31
9067,Semester,Western Association of Schools & Colleges,Brandman University,5B00FF28-7155-E911-8106-000C29A8E632,Brandman University,No,32
9068,Semester,Higher Learning Commission,Briar Cliff University,B8772B4D-7255-E911-8106-000C29A8E632,Briar Cliff University,No,33
9069,Semester,Northwest Commission on Colleges & Universities,Brigham Young University,49E7FC4D-6200-E411-BEB5-00505683000D,Brigham Young University,No,34
9070,Semester,please enter accrediting body,Brock University,E798D86B-6200-E411-BEB5-00505683000D,Brock University,No,35
9071,Semester,Middle States Commission on Higher Education,Cairn University,21F28B1F-7355-E911-8106-000C29A8E632,Cairn University,No,36
9072,Semester,The Middle States Commission on Higher Education,Caldwell University,C678D8AB-2AB2-E411-B490-0050569C00A7,Caldwell University,No,37
9073,Semester,Western Association of Schools & Colleges,California State University - Sacramento,DD504B36-C7B2-E411-BF61-0050569C00A7,California State University Sacramento,No,38
9074,Semester,Western Association of Schools & Colleges,California State University Fresno,350ABAAD-1056-E911-8106-000C29A8E632,California State University Fresno,No,39
9075,Semester,Western Association of Schools & Colleges,California State University Los Angeles,20331563-1156-E911-8106-000C29A8E632,California State University Los Angeles,No,40
9076,Semester,Western Association of Schools & Colleges,California State University Monterey Bay,59412A2C-1256-E911-8106-000C29A8E632,California State University Monterey Bay,No,41
9077,Semester,Western Association of Schools & Colleges,California State University Northridge,6EE7FC4D-6200-E411-BEB5-00505683000D,California State University Northridge,No,42
9078,Semester,Western Association of Schools & Colleges,California State University San Marcos,E728FD71-1356-E911-8106-000C29A8E632,California State University San Marcos,No,43
9079,Semester,Western Association of Schools & Colleges,"California State University, Stanislaus",0AF713D3-4B0A-E711-A8BD-0050569C00A7,California State University Stanislaus,No,44
9080,Semester,Middle States Commission on Higher Education,California University of Pennsylvania,EC053641-1556-E911-8106-000C29A8E632,California University of Pennsylvania,No,45
9081,Semester,New England Commission of Higher Education - (NECHE),Cambridge College,5B0A8A8E-59B1-E411-B490-0050569C00A7,Cambridge College,No,46
9083,Quarter,Higher Learning Commission,Capella University,F9056B9F-A32B-E911-8106-000C29A8E632,Capella University,No,47
9082,Quarter,Higher Learning Commission,Capella University,84E7FC4D-6200-E411-BEB5-00505683000D,Capella University,No,47
9084,Semester,Capilano University,Capilano University - Applied Behaviour Analysis - Autism Dept.,9C21921F-8AB4-E511-990B-0050569C00C5,Capilano University,No,48
9085,,alt path,CAPPDR-SEEK,2090EE70-A15B-E911-8106-000C29A8E632,CAPPDR-SEEK,No,49
9086,Semester,Higher Learning Commission,Central Methodist University,6B96C58C-1656-E911-8106-000C29A8E632,Central Methodist University,No,50
9087,Semester,https://www.chea.org/central-michigan-university,Central Michigan University,308BF753-6200-E411-BEB5-00505683000D,Central Michigan University,No,51
9088,Quarter,Northwest Commission on Colleges & Universities,Central Washington University,378BF753-6200-E411-BEB5-00505683000D,Central Washington University,No,52
9089,Semester,Western Association of Schools & Colleges,Chapman University,914D1849-1756-E911-8106-000C29A8E632,Chapman University,No,53
9090,Semester,Western Association of Schools & Colleges,"Chicago School of Professional Psychology, The",0C50719A-2A14-E411-B0E2-0050569C00A7,Chicago School of Professional Psychology,No,54
9091,Semester,Middle State Commission on Higher Education,Clarion University,681CEC1A-1856-E911-8106-000C29A8E632,Clarion University,No,55
9092,Non semester specific,Southern Association of Colleges & Schools Commission on Colleges,Clemson University,64717A50-1B56-E911-8106-000C29A8E632,Clemson University,No,56
9093,Semester,Higher Learning Commission,Cleveland State University,BB6D8CDB-1D56-E911-8106-000C29A8E632,Cleveland State University,No,57
9094,Semester,Middle Stats Commission on Higher Education,College of Mount Saint Vincent,3FB42883-1E56-E911-8106-000C29A8E632,College of Mount Saint Vincent,No,58
9095,Semester,Middle States Commission on Higer Education,Columbia University Teachers College,C08BF753-6200-E411-BEB5-00505683000D,Columbia University Teachers College,No,59
9096,Annual,BCBA,Consorzio Universitario Humanitas,F85A843D-1F56-E911-8106-000C29A8E632,Consorzio Universitario Humanitas,No,60
9097,Semester,Miniatry of education,Daegu Cyber University,FCCD36FE-A599-E911-810E-000C29A8E632,Daegu Cyber University,No,61
9098,Semester,Middle States Commission on Higher Education,Daemen College,CC279C66-2D56-E911-8106-000C29A8E632,Daemen College,No,62
9099,Semester,The National Center for Academic Accreditation and Evaluation in Saudi Arabia,Dar Al Hekma University,1325DA8F-3356-E911-8106-000C29A8E632,Dar Al Hekma University,No,63
9100,Semester,International Council for Higher Education Accreditation (ICHEA),David Yellin Academic College of Education,4B5DB809-3156-E911-8106-000C29A8E632,David Yellin Academic College of Education,No,64
9101,Semester,New England Association of Schools & Colleges,Deree College The American College of Greece,D5FF7ABB-3156-E911-8106-000C29A8E632,Deree College The American College of Greece,No,65
9102,Semester,BC Ministry of Advanced Education,Douglas College,95212377-3456-E911-8106-000C29A8E632,Douglas College,No,66
9103,Semester,Higher Learning Commission,Drake University,6B8CF753-6200-E411-BEB5-00505683000D,Drake University,No,67
9104,Quarter,Middle States Commission on Higher Education,Drexel University School of Education,B916079B-D7AB-E411-B490-0050569C00A7,Drexel University,No,68
9105,Semester,Middle States Commission on Higher Education,Duquesne University,E9EF900E-3756-E911-8106-000C29A8E632,Duquesne University,No,69
9106,Semester,Middle States Commission on Higher Education,East Stroudsburg University,797C643F-3A56-E911-8106-000C29A8E632,East Stroudsburg University,No,70
9107,Semester,New England Association of Schools and Colleges,Eastern Connecticut State University,2FF777E2-3B56-E911-8106-000C29A8E632,Eastern Connecticut State University,No,71
9735,Semester,Southern Association of Colleges and Schools Commission on Colleges,Eastern Kentucky University,CD122CD4-4A00-E711-9967-0050569C00A7,Eastern Kentucky University,No,72
9635,Semester,Higher Learning Commission - (HLC),Eastern Michigan University,E9A98FA9-04B2-E411-B490-0050569C00A7,Eastern Michigan University,No,73
9108,Semester,Middle States Commission on Higher Education,Eastern University,8D9A2B33-3D56-E911-8106-000C29A8E632,Eastern University,No,74
9109,Semester,WASC Senior College and University Commission,Elms College,66C383BC-4C56-E911-8106-000C29A8E632,Elms College,No,75
9110,Semester,Commission for Academic Accreditation,Emirates College for Advanced Education,ABED38A3-4D56-E911-8106-000C29A8E632,Emirates College for Advanced Education,No,76
9111,Semester,New England Commission of Higher Education,Endicott College,2758E065-6200-E411-BEB5-00505683000D,Endicott College,No,77
9736,Semester,Hungarian Accreditation Committee,Eötvös Lóránd University,BE6AAD33-EC48-EA11-8140-000C29A8E632,Eötvös Lóránd University,Yes,78
9737,8-hour Modules (2 modules per month),Ministry of Education (MEC) in Brazil,Faculdade INESP,5378C7C0-EB48-EA11-8140-000C29A8E632,Faculdade INESP,Yes,79
9112,Quarter,Federal University of Sao Carlos,Federal University of Sao Carlos,28034D7E-D656-E911-8106-000C29A8E632,Federal University of São Carlos,No,80
9113,Semester,Middle States Commission on Higher Education,Felician University,C9AFD37F-DE56-E911-8106-000C29A8E632,Felician University,No,81
9114,Semester,New England Commission of Higher Education,Fitchburg State University,056E9E96-DF56-E911-8106-000C29A8E632,Fitchburg State University,No,82
9115,Semester,Southern Association of Colleges and Schools Commission on Colleges,Florida Atlantic University/Center for Autism and Related Disorders,E757D3B4-E3B0-E611-A5C2-0050569C00A7,Florida Atlantic University,No,83
9117,Semester,Southern Association of Colleges and Schools Commission on Colleges,Florida International University,F98CF753-6200-E411-BEB5-00505683000D,Florida International University,No,84
9118,Semester,Southern Association of Colleges and Schools Commission on Colleges,Florida State University,8E76915A-E856-E911-8106-000C29A8E632,Florida State University,No,85
9116,Semester,Southern Association of Colleges and Schools Commission on Colleges,Florida Tech,F58CF753-6200-E411-BEB5-00505683000D,Florida Institute of Technology,No,86
9119,Semester,Southern Association of Colleges and Schools,Francis Marion University,E79D52D7-FA56-E911-8106-000C29A8E632,Francis Marion University,No,87
9120,Semester,Southern Association of Colleges and Schools Commission on Colleges - (SACSCOC) https://www.chea.org/franciscan-missionaries-our-lady-university,Franciscan Missionaries of Our Lady University,AF7840A9-A666-E911-8106-000C29A8E632,Franciscan Missionaries of Our Lady University,No,88
9121,Semester,WASC,Fresno Pacific University,04725887-195A-E911-8106-000C29A8E632,Fresno Pacific University,No,89
9122,Semester,"The Ministry of Training Colleges and Universities Act – R.R.O. 1990, Reg.771",George Brown College,258DF753-6200-E411-BEB5-00505683000D,George Brown College,No,90
9123,Semester,Southern Association of Colleges and Schools Commission on Colleges,George Mason University,B06AEB13-1A5A-E911-8106-000C29A8E632,George Mason University,No,91
9124,Semester,Southern Association of Colleges and Schools Commission on Colleges,Georgia Southern University,F167B8F2-1A5A-E911-8106-000C29A8E632,Georgia Southern University - Armstrong,No,92
11,Semester,Southern Association of Colleges and Schools Commission on Colleges,Georgia State University,D4EFEE2F-98D8-E911-8121-000C29A8E632,Georgia State University,No,93
9125,Semester,Southern Association of Colleges and Schools Commission on Colleges,Georgia State University,2D8DF753-6200-E411-BEB5-00505683000D,Georgia State University,No,93
9126,Semester,Middle States Commission on Higher Education,Georgian Court University,3958E065-6200-E411-BEB5-00505683000D,Georgian Court University,No,94
9127,Semester,Northwest Commission on Colleges & Universities,Gonzaga University,3F8DF753-6200-E411-BEB5-00505683000D,Gonzaga University,No,95
9128,Semester,Higher Learning Commission,Grand Valley State University,3E418318-B087-E511-A86B-0050569C00A7,Grand Valley State University,No,96
9738,Trimester,Australian Government Department of Education and Training,Griffith University,268E2938-EB48-EA11-8140-000C29A8E632,Griffith University,Yes,97
9129,8-hour Modules (2 modules per month),Ministry of Education (MEC) in Brazil,Grupo Conduzir,A4E795DF-5AFD-E811-8106-000C29A8E632,Grupo Conduzir,No,98
9130,Semester,"Council for higher education (CHE),Ministry of Education, Culture and Sport",Hebrew University of Jerusalem,0E88E5FF-1D5A-E911-8106-000C29A8E632,Hebrew University of Jerusalem,No,99
9131,Semester,Middle States Commission on Higher Education,Hofstra University,858DF753-6200-E411-BEB5-00505683000D,Hofstra University,No,100
9132,Semester,Hong Kong Association for Behavior Analysis,Hong Kong ABA,4457E065-6200-E411-BEB5-00505683000D,Hong Kong Association for Behavior Analysis,No,101
9133,Semester,Association of Canadian Community Colleges,Humber College,732E3946-1F5A-E911-8106-000C29A8E632,Humber College,No,102
9134,Semester,Middle States Commission on Higher Education,Hunter College,FE8F70AB-1F5A-E911-8106-000C29A8E632,Hunter College,No,103
9739,Semester,Ministry of Education of The People's Republic of China,Institute for Accessibility Development Tsinghua University,AAA647EE-EA48-EA11-8140-000C29A8E632,Institute for Accessibility Development Tsinghua University,Yes,104
8,modules,National Accreditation Agency of Rushy of the Ministry of Education of the Russian Federation,Institute for Applied Behavior Analysis and Psychological and Social Technologies,6B31239C-DBB1-EA11-815A-000C29A8E632,Institute for Applied Behavior Analysis and Psychological and Social Technologies,Yes,105
9135,,Brazil does not have one,Instituto Walden 4,A201FB4A-A15B-E911-8106-000C29A8E632,Instituto Walden 4,No,106
9136,Quarter,NATIONAL UNIVERSITIES COMMISSION,International Training Center for Applied Behavior Analysis,04A37D08-215A-E911-8106-000C29A8E632,International Training Center for Applied Behavior Analysis,No,107
9137,,alternative path,"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità (IRFID)",F7E22414-225A-E911-8106-000C29A8E632,"Istituto per la Ricerca, la Formazione e l'Informazione sulle Disabilità  (IRFID)",No,108
9138,Semester,Southern Association of Colleges and Schools Commission on Colleges,Jacksonville State University,BA7F41EA-4221-E711-B720-0050569C00A7,Jacksonville State University,No,109
9139,Semester,Southern Association of Colleges and Schools Commission on Colleges,James Madison University,8FCEEF59-6200-E411-BEB5-00505683000D,James Madison University,No,110
9140,Semester,Middle States Commission on Higher Education,Johns Hopkins University,0D7383A1-F5B1-E811-8102-000C29A8E632,Johns Hopkins University,No,111
9141,Semester,Middle States Commission on Higher Education,Kean University,6E7BFD4C-255A-E911-8106-000C29A8E632,Kean University,No,112
9142,Semester,Southern Association of Colleges and Schools Comission on Colleges,Keiser University,C724B627-375A-E911-8106-000C29A8E632,Keiser University,No,113
9143,Semester,Higher Learning Commission,Kent State University,C2CEEF59-6200-E411-BEB5-00505683000D,Kent State University,No,114
9144,Semester,Kibbutzim College,Kibbutzim College,ADA8FD94-255A-E911-8106-000C29A8E632,Kibbutzim College,No,115
9145,Semester,Israeli Council for Higher Education,Kinneret Academic College in the Jordan Valley,6189624A-265A-E911-8106-000C29A8E632,Kinneret Academic College in the Jordan Valley,No,116
9146,Semester,Ministry of Education,Kongju National University,4B81F72C-275A-E911-8106-000C29A8E632,Kongju National University,No,117
9147,Semester,Asociación de Facultades de Psicología - ASCOFAPSI,Konrad Lorenz University,80FF851B-285A-E911-8106-000C29A8E632,Konrad Lorenz University,No,118
9148,Semester,Kore,Kore University - IESCUM,91B4DBDF-295A-E911-8106-000C29A8E632,Kore University - IESCUM,No,119
9149,Semester,Middle States Commission on Higher Education,Kutztown University of Pennsylvania,AFD31550-2B5A-E911-8106-000C29A8E632,Kutztown University of Pennsylvania,No,120
9150,Quarter,Western Association of Schools & Colleges,La Sierra University,80157516-2C5A-E911-8106-000C29A8E632,La Sierra University,No,121
9151,Semester,Ministry of Advanced Education and Skills Development,Lambton College,5C208737-385A-E911-8106-000C29A8E632,Lambton College,No,122
9152,Semester,Middle States Commission on Higher Education,Lehigh University,02CFEF59-6200-E411-BEB5-00505683000D,Lehigh University,No,123
9740,Semester,Council for Higher Education (Israel),Levinsky College of Education,4462EB79-EA48-EA11-8140-000C29A8E632,Levinsky College of Education,Yes,124
9153,Semester,Higher Learning Commission,Lindenwood University,875902E1-385A-E911-8106-000C29A8E632,Lindenwood University,No,125
6,Semester,Southern Association of Colleges and Schools Commission on Colleges,Lipscomb University,A799B828-395A-E911-8106-000C29A8E632,Lipscomb University,Yes,126
9155,Semester,Middle States Commission on Higher Education,Long Island University,79028965-BAB2-E411-BF61-0050569C00A7,Long Island University,No,127
9156,Semester,Southern Association of Colleges and Schools (SACS),Louisiana State University,28CFEF59-6200-E411-BEB5-00505683000D,Louisiana State University,No,128
9157,Semester,WASC Senior College and University Commision,Loyola Marymount University,455B9627-3A5A-E911-8106-000C29A8E632,Loyola Marymount University,No,129
9158,Semester,Alberta Ministry of Advanced Education,MacEwan University,1B277472-C55A-E911-8106-000C29A8E632,MacEwan University,No,130
9159,Semester,Alternative Pathway,"Malta College of Arts, Science, & Technology",540DBF99-C55A-E911-8106-000C29A8E632,"Malta College of Arts, Science, & Technology",No,131
9160,Semester,Middle States Commission on Higher Education (MSCHE),Manhattanville College,2822F0ED-C55A-E911-8106-000C29A8E632,Manhattanville College,No,132
9741,Semester,Higher Learning Commission,Marian University,58F68E28-EA48-EA11-8140-000C29A8E632,Marian University,Yes,133
9161,Semester,Higher Learning Commission,Marquette University,359C1116-C65A-E911-8106-000C29A8E632,Marquette University,No,134
9162,Semester,Southern Association of Colleges & Schools Commission on Colleges,Mary Baldwin University,72213173-C65A-E911-8106-000C29A8E632,Mary Baldwin University,No,135
9163,,Masaryk University,Masaryk University,C4EC6FED-C65A-E911-8106-000C29A8E632,Masaryk University,No,136
9164,Semester,New England Association of Schools and Colleges,Massachusetts College of Liberal Arts,B0941639-C75A-E911-8106-000C29A8E632,Massachusetts College of Liberal Arts,No,137
9165,Semester,Southern Association of Colleges and Schools Commission on Colleges,Mcneese state university,6FCFEF59-6200-E411-BEB5-00505683000D,McNeese State University,No,138
9836,Semester,Southern Association of Colleges and Schools Commission on Colleges,McNeese State University,5FDD208C-F341-E511-B471-0050569C00A7,McNeese State University,Yes,138
9166,Semester,Middle States Commission on Higher Education,Mercy College,B4DECC20-C85A-E911-8106-000C29A8E632,Mercy College,No,139
9167,Semester,Middle States Commission on Higher Education,Mercyhurst University,8C80807B-C85A-E911-8106-000C29A8E632,Mercyhurst University,No,140
9168,Semester,Higher Learning Commision,Michigan School of Psychology,5F80ED4F-C95A-E911-8106-000C29A8E632,Michigan School of Professional Psychology,No,141
9169,Semester,Higher Learning Commission,Michigan State University/Special Education Program,87FB3B4A-CDC6-E511-87AE-0050569C00A7,Michigan State University,No,142
9170,Semester,Higher Learning Commission,Midland University,3E0639FC-C95A-E911-8106-000C29A8E632,Midland University,No,143
9171,Semester,Southern Association of Colleges & Schools Commission on Colleges,Mississippi State University,B3FA4358-CA5A-E911-8106-000C29A8E632,Mississippi State University,No,144
9172,Semester,Higher Learning Commission,Missouri State University,14E6A898-CB5A-E911-8106-000C29A8E632,Missouri State University,No,145
9173,Semester,"Ministry of Training, Colleges and Universities",Mohawk College,88889CD6-CB5A-E911-8106-000C29A8E632,Mohawk College,No,146
9174,Semester,Monash University,Monash University,ACCFEF59-6200-E411-BEB5-00505683000D,Monash University,No,147
9175,Semester,Middle States Commission on Higher Education,Monmouth University,3620AB40-CF5A-E911-8106-000C29A8E632,Monmouth University,No,148
9176,Semester,Northwest Commission on Colleges and Universities,Montana State University - Billings,6998D86B-6200-E411-BEB5-00505683000D,Montana State University Billings,No,149
9177,,Moscow Centre of Pedagogy and Psychology,Moscow Centre of Pedagogy and Psychology,5E54C586-D05A-E911-8106-000C29A8E632,Moscow Centre of Pedagogy and Psychology,No,150
9178,,Federal Department of Education,Moscow Institute of Psychoanalysis,6228413D-D15A-E911-8106-000C29A8E632,Moscow Institute of Psychoanalysis,No,151
9179,Semester,National Accreditation Agecy of Rushy of the Ministry of Education of the Russian Federation,Moscow Psychological and Social University,49779176-D15A-E911-8106-000C29A8E632,Moscow Psychological and Social University,No,152
9180,,alternative path,Multicultural Alliance of Behavior Analysts,EEB5EC60-5D68-E911-8106-000C29A8E632,Multicultural Alliance of Behavior Analysts,No,153
9181,Semester,Southern Association of Colleges and Schools Commission on Colleges,Murray State University,F098F720-AC99-E911-810E-000C29A8E632,Murray State University,No,154
9182,Semester,College of Extension Education or Graduate Institute of Rehabilitation Counseling,National Changhua University of Education,79DA6E32-D55A-E911-8106-000C29A8E632,National Changhua University of Education,No,155
9183,Semester,Higher Learning Commission,National Louis University,268D7697-D55A-E911-8106-000C29A8E632,National Louis University,No,156
9184,Semester,National Pingtung University,National Pingtung University,5BCE2592-D65A-E911-8106-000C29A8E632,National Pingtung University,No,157
9185,Monthly,WASC Senior College and University Commission,National University,D3CFEF59-6200-E411-BEB5-00505683000D,National University,No,158
9186,Semester,Higher Education Authority,"National University of Ireland, Galway",4E79E6AD-C2B2-E411-BF61-0050569C00A7,National University of Ireland Galway,No,159
9187,Semester,Member of Colleges & Institutes of Canada,Niagara College,191A99FC-D65A-E911-8106-000C29A8E632,Niagara College,No,160
9188,Semester,Southern Association of Colleges and Schools Commission on Colleges (SACSCOC),Nicholls State University,2E41EF8C-D75A-E911-8106-000C29A8E632,Nicholls State University,No,161
1350,Continual enrollment every Monday,WASC Senior College and University Commission,Northcentral University,E152BF17-D8B1-EA11-815A-000C29A8E632,Northcentral University,Yes,162
9189,Semester,New England Commission of Higher Education,Northeastern University,10D0EF59-6200-E411-BEB5-00505683000D,Northeastern University,No,163
9190,Semester,New England Commission of Higher Education,Northeastern University,8B659312-AB99-E911-810E-000C29A8E632,Northeastern University,No,163
9191,Semester,The Higher Learning Commission,Northern Arizona University,13D0EF59-6200-E411-BEB5-00505683000D,Northern Arizona University,No,164
9192,Semester,Higher Learning Commission,Northern Illinois University,46A77ECA-D75A-E911-8106-000C29A8E632,Northern Illinois University,No,165
9193,Semester,Southern Association of Colleges & Schools Commission on Colleges,Northern Kentucky University,83294B19-D85A-E911-8106-000C29A8E632,Northern Kentucky University,No,166
9194,Semester,Higher Learning Commission,Northern Michigan University,12D0EF59-6200-E411-BEB5-00505683000D,Northern Michigan University,No,167
9195,Semester,New England Commission of Higher Education,Northern Vermont University - Johnson,D08B219D-D85A-E911-8106-000C29A8E632,Northern Vermont University-Johnson,No,168
9196,Semester,Southern Association of Colleges and Schools Commission on Colleges,Nova Southeastern University/Mailman Segal Center for Human Development,1ED0EF59-6200-E411-BEB5-00505683000D,Nova Southeastern University,No,169
9197,Semester,Higher Learning Commission,Oakland University,283FFA7C-6058-E811-80FE-000C29A8E632,Oakland University,No,170
9198,Semester,Higher Learning Commission,"Ohio State University, The",7DDA5A2E-CEB2-E411-BF61-0050569C00A7,Ohio State University,No,171
9199,Semester,Higher Learning Commission,Oklahoma State University,4B7261FB-D85A-E911-8106-000C29A8E632,Oklahoma State University,No,172
9200,Semester,Southern Association of Colleges and Schools Commission on Colleges,Old Dominion University,9EBF8E76-D95A-E911-8106-000C29A8E632,Old Dominion University,No,173
9201,Semester,please provide accrediting body information,Oranim Academic College of Education,00C9E437-DB5A-E911-8106-000C29A8E632,Oranim Academic College of Education,No,174
9202,Quarter,Northwest Commission on Colleges and Universities,Oregon Institute of Technology,1976118D-DD5A-E911-8106-000C29A8E632,Oregon Institute of Technology,No,175
